x,y,phi
   7.33333e-01,   9.33333e-01,   8.44975e+00
   8.00000e-01,   9.33333e-01,   7.98524e+00
   8.66667e-01,   9.33333e-01,   7.33628e+00
   9.33333e-01,   9.33333e-01,   6.42060e+00
   1.00000e+00,   9.33333e-01,   5.00000e+00
   0.00000e+00,   1.00000e+00,   5.00000e+00
   6.66667e-02,   1.00000e+00,   5.00000e+00
   1.33333e-01,   1.00000e+00,   5.00000e+00
   2.00000e-01,   1.00000e+00,   5.00000e+00
   2.66667e-01,   1.00000e+00,   5.00000e+00
   3.33333e-01,   1.00000e+00,   5.00000e+00
   4.00000e-01,   1.00000e+00,   5.00000e+00
   4.66667e-01,   1.00000e+00,   5.00000e+00
   5.33333e-01,   1.00000e+00,   5.00000e+00
   6.00000e-01,   1.00000e+00,   5.00000e+00
   6.66667e-01,   1.00000e+00,   5.00000e+00
   7.33333e-01,   1.00000e+00,   5.00000e+00
   8.00000e-01,   1.00000e+00,   5.00000e+00
   8.66667e-01,   1.00000e+00,   5.00000e+00
   9.33333e-01,   1.00000e+00,   5.00000e+00
   1.00000e+00,   1.00000e+00,   5.00000e+00
